"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:12:11 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
86,11,0,3,0,83,14,0,3,0,80,17,0,3,0,84.848,12.121,0,3.030,0,238262784,28672,30-04 22:12:30
80.808,15.152,0,4.040,0,83.838,12.121,0,4.040,0,79.412,15.686,0,4.902,0,83.168,12.871,0,3.960,0,232503808,0,30-04 22:12:31
85.567,10.309,0,4.124,0,86.598,10.309,0,3.093,0,83,14,0,3,0,84.848,11.111,0,4.040,0,241869824,49152,30-04 22:12:32
84.848,11.111,0,4.040,0,86,10,0,4,0,84.375,11.458,0,4.167,0,82.353,13.725,0,3.922,0,236054528,1155072,30-04 22:12:33
84.158,10.891,0.990,3.960,0,82.353,12.745,0.980,3.922,0,85.149,10.891,0,3.960,0,81.188,13.861,0.990,3.960,0,233601536,0,30-04 22:12:34
83.838,12.121,0,4.040,0,86.735,9.184,0,4.082,0,85,11,0,4,0,83.838,12.121,0,4.040,0,224577536,0,30-04 22:12:35
85.294,11.765,0,2.941,0,85.714,11.224,0,3.061,0,86.139,10.891,0,2.970,0,84.158,12.871,0,2.970,0,238797312,32768,30-04 22:12:36
85.859,10.101,0,4.040,0,86.869,9.091,0,4.040,0,85.263,10.526,0,4.211,0,85.859,10.101,0,4.040,0,228329984,49152,30-04 22:12:37
85.859,11.111,0,3.030,0,84.158,11.881,0,3.960,0,84.314,11.765,0.980,2.941,0,87.755,9.184,0,3.061,0,235024896,995328,30-04 22:12:38
83.838,11.111,0,5.051,0,85.714,9.184,0,5.102,0,82.828,13.131,0,4.040,0,82.692,12.500,0,4.808,0,224034816,0,30-04 22:12:39
85.714,11.224,0,3.061,0,84.694,11.224,0,4.082,0,84.158,11.881,0,3.960,0,84.694,11.224,0,4.082,0,228288512,0,30-04 22:12:40
83.168,11.881,0,4.950,0,85.263,10.526,0,4.211,0,84.694,11.224,0,4.082,0,83.838,12.121,0,4.040,0,230972928,0,30-04 22:12:41
81.633,13.265,0,5.102,0,85,10,0,5,0,83.673,11.224,0,5.102,0,80.808,14.141,0,5.051,0,222062080,49152,30-04 22:12:42
84.158,12.871,0,2.970,0,87,9,0,4,0,82.653,13.265,0,4.082,0,82.828,13.131,0,4.040,0,226365440,0,30-04 22:12:43
83,12,0,5,0,83.673,13.265,0,3.061,0,87.129,9.901,0,2.970,0,82.353,13.725,0,3.922,0,216697344,1077248,30-04 22:12:44
88.889,7.071,0,4.040,0,89,6,0,5,0,86.735,8.163,0,5.102,0,86.869,9.091,0,4.040,0,191191040,204951552,30-04 22:12:45
87.879,11.111,0,1.010,0,89,10,0,1,0,86,13,0,1,0,82.828,16.162,0,1.010,0,250452480,0,30-04 22:12:46
87,9,0,4,0,83.673,12.245,0,4.082,0,81.633,14.286,0,4.082,0,83.838,12.121,0,4.040,0,237597184,0,30-04 22:12:47
85.149,8.911,0.990,4.950,0,80.808,13.131,1.010,5.051,0,85.417,9.375,0,5.208,0,85.859,9.091,0,5.051,0,226936832,0,30-04 22:12:48
85.859,9.091,0,5.051,0,80.808,14.141,0,5.051,0,83,11,0,6,0,83.168,10.891,0.990,4.950,0,230556672,1040384,30-04 22:12:49
76.699,11.650,0,11.650,0,76.289,11.340,0,12.371,0,77.778,11.111,0,11.111,0,77.228,10.891,0,11.881,0,213370880,24576,30-04 22:12:50
87.879,9.091,0,3.030,0,86.139,10.891,0,2.970,0,89,7,0,4,0,87,10,0,3,0,234792448,69632,30-04 22:12:51
84.536,9.278,0,6.186,0,82.178,10.891,0,6.931,0,84,10,0,6,0,85.567,8.247,0,6.186,0,236976128,98304,30-04 22:12:52
82.828,8.081,0,9.091,0,82.292,7.292,0,10.417,0,81.443,9.278,0,9.278,0,78.788,11.111,0,10.101,0,232349184,86016,30-04 22:12:53
88,7,0,5,0,87.129,7.921,0,4.950,0,85,9,1,5,0,81,14,0,5,0,237856768,1101824,30-04 22:12:54
84.694,9.184,0,6.122,0,87,7,0,6,0,81.188,11.881,0,6.931,0,85,9,0,6,0,235381760,32768,30-04 22:12:55
83.168,5.941,0,10.891,0,77.551,11.224,0,11.224,0,81.633,7.143,0,11.224,0,82.178,6.931,0,10.891,0,216888320,114688,30-04 22:12:56
87.629,8.247,0,4.124,0,88,8,0,4,0,85.149,10.891,0,3.960,0,89.109,6.931,0,3.960,0,239835648,0,30-04 22:12:57
83.505,7.216,0,9.278,0,81.188,9.901,0,8.911,0,81.443,9.278,0,9.278,0,81,10,0,9,0,228069376,65536,30-04 22:12:58
85.149,10.891,0,3.960,0,87.129,7.921,0,4.950,0,84.158,11.881,0,3.960,0,85.567,10.309,0,4.124,0,235271168,0,30-04 22:12:59
89.796,6.122,0,4.082,0,90,6,0,4,0,88.119,7.921,0,3.960,0,90.909,6.061,0,3.030,0,225545728,1155072,30-04 22:13:00
77,9,1,13,0,80,7,0,13,0,80,8,0,12,0,74.747,11.111,1.010,13.131,0,215141376,36864,30-04 22:13:01
87.255,9.804,0,2.941,0,85.859,11.111,0,3.030,0,87,9,0,4,0,88,9,0,3,0,242785280,102400,30-04 22:13:02
78.788,11.111,0,10.101,0,80,9,1,10,0,81,9,0,10,0,83.168,6.931,0,9.901,0,221718016,61440,30-04 22:13:03
85.859,9.091,0,5.051,0,83.838,11.111,0,5.051,0,84,11,0,5,0,81.553,13.592,0,4.854,0,221814784,0,30-04 22:13:04
82.828,7.071,0,10.101,0,82.353,7.843,0,9.804,0,82.292,7.292,0,10.417,0,79.798,10.101,0,10.101,0,220991488,1130496,30-04 22:13:05
88,8,0,4,0,84.848,11.111,0,4.040,0,86.275,9.804,0,3.922,0,88.889,7.071,0,4.040,0,232699904,0,30-04 22:13:06
82.653,11.224,0,6.122,0,83.673,10.204,0,6.122,0,83.838,9.091,1.010,6.061,0,81.373,12.745,0,5.882,0,220801024,0,30-04 22:13:07
83,13,0,4,0,89.109,6.931,0,3.960,0,90.816,5.102,0,4.082,0,84.848,11.111,0,4.040,0,223680512,32768,30-04 22:13:08
79.208,15.842,0,4.950,0,85.714,10.204,0,4.082,0,80.612,14.286,0,5.102,0,86,9,0,5,0,227648000,0,30-04 22:13:09
83.505,11.340,0,5.155,0,82.828,11.111,0,6.061,0,85.714,8.163,0,6.122,0,84.848,10.101,0,5.051,0,226008064,1011712,30-04 22:13:10
85,9,0,6,0,87.755,7.143,0,5.102,0,81.443,13.402,0,5.155,0,83.838,10.101,0,6.061,0,224410624,90112,30-04 22:13:11
86.139,9.901,0,3.960,0,87,9,0,4,0,86.735,9.184,0,4.082,0,84,12,0,4,0,216280576,0,30-04 22:13:12
85.714,10.204,1.020,3.061,0,85.859,10.101,0,4.040,0,87.755,9.184,0,3.061,0,87.629,9.278,0,3.093,0,222726656,32768,30-04 22:13:13
83.168,12.871,0,3.960,0,87.879,7.071,1.010,4.040,0,87.129,7.921,0,4.950,0,86,9,0,5,0,218621440,0,30-04 22:13:14
94.059,3.960,0,1.980,0,88.119,8.911,0,2.970,0,90,7,0,3,0,89.109,7.921,0,2.970,0,206655488,205651968,30-04 22:13:15
95,5,0,0,0,86,12,0,2,0,89.899,8.081,0,2.020,0,88,11,0,1,0,253949952,0,30-04 22:13:16
89.899,8.081,0,2.020,0,90.909,8.081,0,1.010,0,91,8,0,1,0,88,9,0,3,0,246418432,68366336,30-04 22:13:17
91.089,6.931,0,1.980,0,84,14,0,2,0,91.089,5.941,0.990,1.980,0,90,8,1,1,0,275834368,68055040,30-04 22:13:18
88.776,9.184,0,2.041,0,89.899,8.081,0,2.020,0,86,11,0,3,0,90,7,0,3,0,284212224,136437760,30-04 22:13:19
88,10,0,2,0,91.919,6.061,0,2.020,0,86,12,0,2,0,90.909,7.071,0,2.020,0,294643200,69386240,30-04 22:13:20
88.889,8.081,0,3.030,0,88,10,0,2,0,90,8,0,2,0,88.235,9.804,0,1.961,0,292871680,886775808,30-04 22:13:21
87.879,10.101,0,2.020,0,86,11,0,3,0,88,10,0,2,0,88.889,9.091,0,2.020,0,300553216,68202496,30-04 22:13:22
88.776,8.163,0,3.061,0,84,13,0,3,0,89.796,8.163,0,2.041,0,86.275,10.784,0,2.941,0,305593856,136421376,30-04 22:13:23
88.119,9.901,0,1.980,0,87.629,10.309,0,2.062,0,89.109,8.911,0,1.980,0,91.919,6.061,0,2.020,0,302821888,621661696,30-04 22:13:24
86.139,10.891,0,2.970,0,88.119,8.911,0,2.970,0,91,7,0,2,0,86.139,10.891,0,2.970,0,291311616,129700352,30-04 22:13:25
89.109,7.921,0,2.970,0,90.099,6.931,0,2.970,0,89,8,0,3,0,86.869,11.111,0,2.020,0,303751680,136470528,30-04 22:13:26
90.722,8.247,0,1.031,0,90.099,7.921,0,1.980,0,85,13,0,2,0,90,8,0,2,0,309139456,613564416,30-04 22:13:27
88.119,6.931,0,4.950,0,88,8,0,4,0,86.869,9.091,0,4.040,0,84.848,11.111,0,4.040,0,314734080,204521472,30-04 22:13:28
87.879,10.101,0,2.020,0,85,13,0,2,0,89.899,8.081,0,2.020,0,89.899,8.081,0,2.020,0,303280128,409149440,30-04 22:13:29
87,11,0,2,0,87,11,0,2,0,90,8,0,2,0,86.735,10.204,0,3.061,0,305337344,69500928,30-04 22:13:30
88.119,9.901,0,1.980,0,88,9,0,3,0,87,10,0,3,0,91.176,6.863,0,1.961,0,305199616,136482816,30-04 22:13:31
92,6,0,2,0,86,13,0,1,0,89,9,0,2,0,90.099,7.921,0,1.980,0,308809728,749867008,30-04 22:13:32
88.119,8.911,0,2.970,0,85.859,11.111,0,3.030,0,85.149,11.881,0,2.970,0,84.848,12.121,0,3.030,0,300892160,409075712,30-04 22:13:33
88.660,8.247,0,3.093,0,90.099,7.921,0,1.980,0,84.536,13.402,0,2.062,0,85.714,12.245,0,2.041,0,298544640,136474624,30-04 22:13:34
86,12,0,2,0,86,12,0,2,0,89,9,0,2,0,87,11,0,2,0,253255168,477216768,30-04 22:13:35
89,10,0,1,0,90,9,0,1,0,91,8,0,1,0,87,12,0,1,0,244873728,1216512,30-04 22:13:36
87.879,11.111,0,1.010,0,90.909,8.081,0,1.010,0,90,8,0,2,0,90.816,8.163,0,1.020,0,236137984,16384,30-04 22:13:37
87.755,10.204,0,2.041,0,88,10,0,2,0,89.796,9.184,0,1.020,0,95,3,0,2,0,230509056,32768,30-04 22:13:38
92.929,6.061,0,1.010,0,90,8,0,2,0,89,9,0,2,0,90.196,7.843,0,1.961,0,236547072,0,30-04 22:13:39
89.109,8.911,0,1.980,0,87.755,10.204,0,2.041,0,91.919,6.061,0,2.020,0,88,10,0,2,0,229110272,65536,30-04 22:13:40
89.216,7.843,0,2.941,0,85.859,12.121,0,2.020,0,85,12,0,3,0,88.889,9.091,0,2.020,0,230496256,1101824,30-04 22:13:41
91,7,0,2,0,92.079,5.941,0,1.980,0,88.119,9.901,0,1.980,0,90.816,7.143,0,2.041,0,224826368,0,30-04 22:13:42
86,12,0,2,0,86,12,0,2,0,88.889,10.101,0,1.010,0,88.119,9.901,0,1.980,0,229870592,45056,30-04 22:13:43
89.899,8.081,0,2.020,0,87.129,10.891,0,1.980,0,90,7,0,3,0,89.899,8.081,0,2.020,0,221922304,0,30-04 22:13:44
88,7,0,5,0,83.838,9.091,1.010,6.061,0,85.714,9.184,0,5.102,0,83.838,11.111,0,5.051,0,214963712,98304,30-04 22:13:45
95.050,3.960,0.990,0,0,87,12,0,1,0,91.919,7.071,0,1.010,0,90,9,0,1,0,198766592,1064960,30-04 22:13:46
89,9,0,2,0,89,8,0,3,0,85.149,11.881,0,2.970,0,86.139,10.891,0,2.970,0,226171392,204595200,30-04 22:13:47
88,10,0,2,0,91.919,7.071,0,1.010,0,85.859,13.131,0,1.010,0,91,8,0,1,0,242691584,0,30-04 22:13:48
87.755,11.224,0,1.020,0,89.216,8.824,0,1.961,0,91.089,6.931,0,1.980,0,88,10,0,2,0,239143936,0,30-04 22:13:49
90.909,6.061,0,3.030,0,91.919,6.061,0,2.020,0,84,13,1,2,0,86.139,11.881,0,1.980,0,235107328,45056,30-04 22:13:50
90.099,7.921,0,1.980,0,86.869,11.111,0,2.020,0,88,10,0,2,0,89.899,7.071,1.010,2.020,0,227333120,1675264,30-04 22:13:51
89.899,7.071,0,3.030,0,89.109,7.921,0,2.970,0,89,8,0,3,0,89.109,7.921,0,2.970,0,221233152,118784,30-04 22:13:52
89.899,9.091,0,1.010,0,87.129,10.891,0,1.980,0,88.119,9.901,0,1.980,0,89.109,7.921,0,2.970,0,229777920,40960,30-04 22:13:53
84.158,10.891,0,4.950,0,89.691,6.186,0,4.124,0,87.129,7.921,0,4.950,0,84.158,11.881,0,3.960,0,220547072,0,30-04 22:13:54
87.629,7.216,0,5.155,0,85,10,0,5,0,83.838,11.111,0,5.051,0,85.567,8.247,0,6.186,0,210334208,0,30-04 22:13:55
87.629,8.247,0,4.124,0,86,9,0,5,0,88.889,6.061,0,5.051,0,86.869,9.091,0,4.040,0,218304000,4096,30-04 22:13:56
85.714,9.184,0,5.102,0,87.255,7.843,0,4.902,0,83.838,11.111,0,5.051,0,86,9,0,5,0,217997824,1286144,30-04 22:13:57
84.848,10.101,0,5.051,0,86.598,8.247,0,5.155,0,86.458,8.333,0,5.208,0,88.889,5.051,0,6.061,0,218800128,0,30-04 22:13:58
86.869,8.081,0,5.051,0,87,8,0,5,0,87.879,8.081,0,4.040,0,86.869,9.091,0,4.040,0,211001344,32768,30-04 22:13:59
85.149,10.891,0,3.960,0,86.139,7.921,0.990,4.950,0,85.149,10.891,0,3.960,0,85.149,9.901,0,4.950,0,216760320,0,30-04 22:14:00
86.139,7.921,0.990,4.950,0,86.139,8.911,0,4.950,0,80.808,13.131,1.010,5.051,0,88.119,5.941,0.990,4.950,0,218272768,0,30-04 22:14:01
86.139,7.921,0,5.941,0,81.818,13.131,0,5.051,0,86.869,8.081,0,5.051,0,83.333,11.765,0,4.902,0,216965632,1105920,30-04 22:14:02
85.714,9.184,0,5.102,0,85.417,9.375,0,5.208,0,86.869,8.081,0,5.051,0,81.188,12.871,0,5.941,0,211795968,0,30-04 22:14:03
84.694,10.204,0,5.102,0,88.421,6.316,0,5.263,0,85.859,9.091,0,5.051,0,88.776,6.122,0,5.102,0,214169600,0,30-04 22:14:04
83.168,9.901,0,6.931,0,86.275,6.863,0,6.863,0,84.158,8.911,0,6.931,0,85.567,7.216,0,7.216,0,217867776,106496,30-04 22:14:05
85,10,0,5,0,84.158,10.891,0,4.950,0,83.673,10.204,0,6.122,0,85.714,9.184,0,5.102,0,221639680,0,30-04 22:14:06
86.869,9.091,0,4.040,0,84.848,10.101,0,5.051,0,85.567,10.309,0,4.124,0,85.859,9.091,0,5.051,0,209534976,1196032,30-04 22:14:07
88.776,7.143,0,4.082,0,85.714,11.224,0,3.061,0,83.673,12.245,0,4.082,0,87.879,9.091,0,3.030,0,222773760,0,30-04 22:14:08
88,7,0,5,0,84.694,10.204,0,5.102,0,82.828,11.111,1.010,5.051,0,86,9,0,5,0,217432064,0,30-04 22:14:09
84.466,9.709,0.971,4.854,0,86.869,9.091,0,4.040,0,86.139,9.901,0,3.960,0,86,10,0,4,0,215798784,53248,30-04 22:14:10
88,8,0,4,0,85.859,9.091,0,5.051,0,87.129,6.931,0,5.941,0,85,9,0,6,0,207808000,16384,30-04 22:14:11
87.129,8.911,0,3.960,0,86.139,8.911,0.990,3.960,0,83.838,13.131,0,3.030,0,89,7,1,3,0,211058688,0,30-04 22:14:12
84.536,12.371,0,3.093,0,86.869,10.101,0,3.030,0,89.109,7.921,0,2.970,0,88.889,8.081,0,3.030,0,210811392,974848,30-04 22:14:13
89.109,6.931,0,3.960,0,89.691,6.186,0,4.124,0,92,4,0,4,0,88.889,8.081,0,3.030,0,195013632,0,30-04 22:14:14
93.939,3.030,0,3.030,0,89.899,7.071,0,3.030,0,91,6,0,3,0,91.089,6.931,0,1.980,0,195743744,204611584,30-04 22:14:15
85.149,9.901,0,4.950,0,84.314,9.804,0,5.882,0,82.474,12.371,0,5.155,0,88.235,6.863,0,4.902,0,220280832,32768,30-04 22:14:16
85.859,7.071,1.010,6.061,0,86.598,7.216,0,6.186,0,85.417,8.333,0,6.250,0,81.188,11.881,0,6.931,0,212959744,40960,30-04 22:14:17
84,8,0,8,0,84.375,6.250,0,9.375,0,84.694,7.143,1.020,7.143,0,84.848,7.071,0,8.081,0,202993664,1323008,30-04 22:14:18
87,8,0,5,0,90,4,1,5,0,83,11,0,6,0,83,11,1,5,0,210684416,0,30-04 22:14:19
88.119,4.950,0,6.931,0,85.714,6.122,0,8.163,0,84.314,7.843,0.980,6.863,0,83.158,9.474,0,7.368,0,207828480,49152,30-04 22:14:20
84.848,9.091,0,6.061,0,87,8,0,5,0,86.598,8.247,0,5.155,0,85.714,9.184,0,5.102,0,211872768,24576,30-04 22:14:21
84.158,8.911,0,6.931,0,89.796,4.082,0,6.122,0,86.598,6.186,0,7.216,0,87,7,0,6,0,200402944,0,30-04 22:14:22
82.292,7.292,0,10.417,0,82.828,7.071,0,10.101,0,82,8,0,10,0,80.612,9.184,0,10.204,0,211355648,90112,30-04 22:14:23
87.129,6.931,0.990,4.950,0,84,11,0,5,0,82,13,0,5,0,88.350,6.796,0,4.854,0,218619904,1163264,30-04 22:14:24
86.139,8.911,0,4.950,0,85.859,8.081,0,6.061,0,84.848,10.101,0,5.051,0,82.178,10.891,0.990,5.941,0,216826880,0,30-04 22:14:25
87.129,7.921,0,4.950,0,83,12,0,5,0,87.129,7.921,0,4.950,0,85.859,9.091,0,5.051,0,212878336,8192,30-04 22:14:26
86.598,8.247,0,5.155,0,87.129,7.921,0.990,3.960,0,90.816,5.102,0,4.082,0,84.694,10.204,0,5.102,0,218742272,544768,30-04 22:14:27
82.178,6.931,0,10.891,0,81.188,7.921,0,10.891,0,78.431,8.824,0.980,11.765,0,83.838,5.051,0,11.111,0,208626176,94208,30-04 22:14:28
85.714,8.163,0,6.122,0,85.714,8.163,0,6.122,0,85.859,9.091,0,5.051,0,80.808,13.131,0,6.061,0,217515008,1081344,30-04 22:14:29
88,8,0,4,0,89,7,0,4,0,87.629,7.216,0,5.155,0,88.889,7.071,0,4.040,0,207140864,0,30-04 22:14:30
85.437,8.738,0,5.825,0,86.735,8.163,0,5.102,0,84.536,10.309,0,5.155,0,87,8,0,5,0,216401408,0,30-04 22:14:31
87.234,6.383,1.064,5.319,0,83.168,10.891,0,5.941,0,83.505,10.309,0,6.186,0,83.495,10.680,0,5.825,0,213040640,8192,30-04 22:14:32
83.168,5.941,0,10.891,0,81,8,0,11,0,75.248,13.861,0,10.891,0,79,10,0,11,0,207046144,106496,30-04 22:14:33
86.275,7.843,0,5.882,0,88,6,0,6,0,84.536,9.278,0,6.186,0,83,11,0,6,0,208956416,0,30-04 22:14:34
86.598,8.247,0,5.155,0,84.158,8.911,0.990,5.941,0,87,7,0,6,0,83,11,0,6,0,214878208,1200128,30-04 22:14:35
88.889,6.061,0,5.051,0,84.158,10.891,0,4.950,0,84.848,9.091,1.010,5.051,0,87,7,1,5,0,212633088,0,30-04 22:14:36
86.139,8.911,0,4.950,0,85.714,9.184,0,5.102,0,84.536,9.278,0,6.186,0,86.275,8.824,0,4.902,0,210390016,0,30-04 22:14:37
83.168,7.921,0,8.911,0,84.848,5.051,0,10.101,0,83.673,8.163,0,8.163,0,86.139,4.950,0,8.911,0,211221504,114688,30-04 22:14:38
76.238,8.911,0,14.851,0,76.768,8.081,0,15.152,0,76,8,0,16,0,75.758,9.091,0,15.152,0,204456448,61440,30-04 22:14:39
87,6,0,7,0,84.375,9.375,0,6.250,0,82.653,11.224,0,6.122,0,86.275,6.863,0,6.863,0,218074624,1097728,30-04 22:14:40
86,8,1,5,0,86.139,8.911,0,4.950,0,85.859,9.091,0,5.051,0,86,9,0,5,0,211274752,0,30-04 22:14:41
80.808,12.121,0,7.071,0,82,11,0,7,0,78.571,14.286,0,7.143,0,88.119,5.941,0,5.941,0,200556032,122880,30-04 22:14:42
86.869,12.121,0,1.010,0,90.816,8.163,0,1.020,0,89,10,0,1,0,90,9,0,1,0,219630592,4096,30-04 22:14:43
88,11,0,1,0,89.109,8.911,0,1.980,0,90,9,0,1,0,94.949,5.051,0,0,0,200515072,0,30-04 22:14:44
91,7,0,2,0,90.099,7.921,0,1.980,0,89,9,0,2,0,88.119,8.911,0,2.970,0,216388608,205742080,30-04 22:14:45
87,10,0,3,0,92.929,5.051,0,2.020,0,88.889,8.081,0,3.030,0,88.350,8.738,0,2.913,0,219717632,0,30-04 22:14:46
86.869,8.081,0,5.051,0,86.735,7.143,1.020,5.102,0,86,10,0,4,0,86.139,9.901,0,3.960,0,219852288,102400,30-04 22:14:47
87.879,9.091,0,3.030,0,87.629,9.278,0,3.093,0,87.129,9.901,0,2.970,0,86,11,0,3,0,222136320,0,30-04 22:14:48
88.889,10.101,0,1.010,0,86,12,0,2,0,87.500,10.417,0,2.083,0,84.848,13.131,0,2.020,0,228196864,0,30-04 22:14:49
85.149,12.871,0,1.980,0,88.889,9.091,0,2.020,0,89.216,8.824,0,1.961,0,91.089,6.931,0,1.980,0,226870272,1282048,30-04 22:14:50
88,9,0,3,0,93,5,0,2,0,88.776,9.184,0,2.041,0,88,10,0,2,0,216455168,0,30-04 22:14:51
88,10,0,2,0,89.899,8.081,0,2.020,0,87.379,9.709,0.971,1.942,0,91.089,5.941,0.990,1.980,0,222119424,0,30-04 22:14:52
94,5,0,1,0,88.660,9.278,0,2.062,0,90.816,7.143,0,2.041,0,88.889,9.091,0,2.020,0,220942336,106496,30-04 22:14:53
86.275,5.882,0,7.843,0,84,8,0,8,0,83,9,0,8,0,83.495,9.709,0,6.796,0,200040960,0,30-04 22:14:54
86.869,11.111,0,2.020,0,90.909,8.081,0,1.010,0,90.909,8.081,0,1.010,0,87.129,10.891,0,1.980,0,213403136,0,30-04 22:14:55
91,8,0,1,0,88.889,9.091,0,2.020,0,90.099,7.921,0,1.980,0,90.625,8.333,0,1.042,0,220849152,1306624,30-04 22:14:56
86.869,11.111,0,2.020,0,86,12,0,2,0,89.109,8.911,0,1.980,0,90.196,7.843,0,1.961,0,219107328,0,30-04 22:14:57
87,11,0,2,0,87.129,10.891,0,1.980,0,87,11,0,2,0,88.889,9.091,0,2.020,0,217640448,557056,30-04 22:14:58
78.571,7.143,0,14.286,0,81.720,4.301,0,13.978,0,79,8,0,13,0,80.612,6.122,0,13.265,0,183577088,28672,30-04 22:14:59
92.857,6.122,0,1.020,0,90.099,7.921,0,1.980,0,92.079,5.941,0,1.980,0,88,10,0,2,0,214495744,0,30-04 22:15:00
84.314,9.804,0.980,4.902,0,87.879,8.081,0,4.040,0,85.859,10.101,0,4.040,0,85.149,10.891,0,3.960,0,208010240,1085440,30-04 22:15:01
84.536,10.309,0,5.155,0,82.828,12.121,0,5.051,0,84.848,10.101,0,5.051,0,88.660,6.186,0,5.155,0,206860288,0,30-04 22:15:02
85,6,0,9,0,78,10,0,12,0,83.168,6.931,0,9.901,0,82.178,6.931,0,10.891,0,187476992,61440,30-04 22:15:03
91.837,4.082,0,4.082,0,85.714,10.204,0,4.082,0,87.879,8.081,0,4.040,0,86,9,0,5,0,211564544,0,30-04 22:15:04
83.838,10.101,0,6.061,0,83.333,9.804,0.980,5.882,0,83.168,10.891,0,5.941,0,88.776,7.143,0,4.082,0,207259648,0,30-04 22:15:05
88.542,7.292,0,4.167,0,86,10,0,4,0,86.869,8.081,1.010,4.040,0,81,13,1,5,0,207314944,1077248,30-04 22:15:06
84.158,10.891,0,4.950,0,88.660,6.186,0,5.155,0,87.755,8.163,0,4.082,0,85.859,9.091,0,5.051,0,196379136,0,30-04 22:15:07
