/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 05:10:18:408 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 05:10:19:385 1 sec: 48000 operations; 48000 current ops/sec; est completion in 8 minutes [INSERT: Count=48000, Max=459519, Min=251520, Avg=360328, 90=456959, 99=459519, 99.9=459519, 99.99=459519] 
2025-05-01 05:10:58:385 40 sec: 4752000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74367, Min=31952, Avg=49426.6, 90=60511, 99=70975, 99.9=74367, 99.99=74367] 
2025-05-01 05:10:59:385 41 sec: 4872000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=70911, Min=33664, Avg=48613.87, 90=57919, 99=69439, 99.9=70911, 99.99=70911] 
2025-05-01 05:11:00:385 42 sec: 4992000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73215, Min=35616, Avg=52342.4, 90=63455, 99=70591, 99.9=73215, 99.99=73215] 
2025-05-01 05:11:01:385 43 sec: 5112000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74687, Min=41920, Avg=55384.8, 90=62463, 99=71679, 99.9=74687, 99.99=74687] 
2025-05-01 05:11:02:385 44 sec: 5230000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=76671, Min=33440, Avg=59906.58, 90=69887, 99=75839, 99.9=76671, 99.99=76671] 
2025-05-01 05:11:03:385 45 sec: 5352000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=74687, Min=32896, Avg=50339.67, 90=62847, 99=74559, 99.9=74687, 99.99=74687] 
2025-05-01 05:11:04:385 46 sec: 5473000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=67007, Min=32512, Avg=41151.34, 90=48927, 99=65983, 99.9=67007, 99.99=67007] 
2025-05-01 05:11:05:385 47 sec: 5593000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=67519, Min=33920, Avg=47698.27, 90=57311, 99=65343, 99.9=67519, 99.99=67519] 
2025-05-01 05:11:06:385 48 sec: 5711000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=73023, Min=34112, Avg=51523.25, 90=60511, 99=72511, 99.9=73023, 99.99=73023] 
2025-05-01 05:11:07:385 49 sec: 5832000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=76607, Min=34624, Avg=52236.83, 90=60799, 99=71807, 99.9=76607, 99.99=76607] 
2025-05-01 05:11:08:385 50 sec: 5952000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=75007, Min=37504, Avg=58596.53, 90=63839, 99=75007, 99.9=75007, 99.99=75007] 
2025-05-01 05:11:09:385 51 sec: 6072000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=77375, Min=32992, Avg=56107.07, 90=64063, 99=77311, 99.9=77375, 99.99=77375] 
2025-05-01 05:11:10:385 52 sec: 6192000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=71615, Min=30960, Avg=54607.67, 90=63103, 99=71103, 99.9=71615, 99.99=71615] 
2025-05-01 05:11:11:385 53 sec: 6312000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=75711, Min=32688, Avg=54217, 90=64895, 99=75327, 99.9=75711, 99.99=75711] 
2025-05-01 05:11:12:385 54 sec: 6399000 operations; 87000 current ops/sec; est completion in 2 minutes [INSERT: Count=88000, Max=536575, Min=38336, Avg=77872.73, 90=73151, 99=536575, 99.9=536575, 99.99=536575] 
2025-05-01 05:11:13:385 55 sec: 6472000 operations; 73000 current ops/sec; est completion in 2 minutes [INSERT: Count=72000, Max=1207295, Min=35584, Avg=206633.11, 90=912383, 99=1207295, 99.9=1207295, 99.99=1207295] 
2025-05-01 05:11:14:385 56 sec: 6592000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=1833983, Min=40224, Avg=821919.87, 90=1728511, 99=1827839, 99.9=1833983, 99.99=1833983] 
2025-05-01 05:11:15:385 57 sec: 6740000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=1358847, Min=53728, Avg=717743.78, 90=1256447, 99=1356799, 99.9=1358847, 99.99=1358847] 
2025-05-01 05:11:16:385 58 sec: 6819000 operations; 79000 current ops/sec; est completion in 2 minutes [INSERT: Count=79000, Max=1599487, Min=35392, Avg=283075.85, 90=1171455, 99=1599487, 99.9=1599487, 99.99=1599487] 
2025-05-01 05:11:17:385 59 sec: 6892000 operations; 73000 current ops/sec; est completion in 2 minutes [INSERT: Count=73000, Max=2246655, Min=32512, Avg=395647.89, 90=2002943, 99=2246655, 99.9=2246655, 99.99=2246655] 
2025-05-01 05:11:18:385 60 sec: 6964000 operations; 72000 current ops/sec; est completion in 2 minutes [INSERT: Count=72000, Max=3117055, Min=33024, Avg=498828.44, 90=2723839, 99=3117055, 99.9=3117055, 99.99=3117055] 
2025-05-01 05:11:19:385 61 sec: 7032000 operations; 68000 current ops/sec; est completion in 2 minutes [INSERT: Count=68000, Max=4020223, Min=37440, Avg=482071.06, 90=3432447, 99=4020223, 99.9=4020223, 99.99=4020223] 
2025-05-01 05:11:20:385 62 sec: 7188000 operations; 156000 current ops/sec; est completion in 2 minutes [INSERT: Count=156000, Max=4284415, Min=39776, Avg=2390037.03, 90=4132863, 99=4280319, 99.9=4284415, 99.99=4284415] 
2025-05-01 05:11:21:385 63 sec: 7373000 operations; 185000 current ops/sec; est completion in 2 minutes [INSERT: Count=185000, Max=3610623, Min=33568, Avg=1968225.99, 90=3264511, 99=3567615, 99.9=3610623, 99.99=3610623] 
2025-05-01 05:11:22:385 64 sec: 7538000 operations; 165000 current ops/sec; est completion in 2 minutes [INSERT: Count=165000, Max=2353151, Min=46272, Avg=1441980.99, 90=2203647, 99=2342911, 99.9=2353151, 99.99=2353151] 
2025-05-01 05:11:23:385 65 sec: 7674000 operations; 136000 current ops/sec; est completion in 2 minutes [INSERT: Count=136000, Max=1254399, Min=46848, Avg=558802.12, 90=1007615, 99=1187839, 99.9=1254399, 99.99=1254399] 
2025-05-01 05:11:24:385 66 sec: 7749000 operations; 75000 current ops/sec; est completion in 2 minutes [INSERT: Count=75000, Max=2050047, Min=36064, Avg=386984.32, 90=1683455, 99=2050047, 99.9=2050047, 99.99=2050047] 
2025-05-01 05:11:25:385 67 sec: 7818000 operations; 69000 current ops/sec; est completion in 2 minutes [INSERT: Count=69000, Max=2916351, Min=40512, Avg=375381.8, 90=2248703, 99=2916351, 99.9=2916351, 99.99=2916351] 
2025-05-01 05:11:26:385 68 sec: 7880000 operations; 62000 current ops/sec; est completion in 2 minutes [INSERT: Count=62000, Max=3809279, Min=32864, Avg=540233.55, 90=3227647, 99=3809279, 99.9=3809279, 99.99=3809279] 
2025-05-01 05:11:27:385 69 sec: 7900000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=4567039, Min=306432, Avg=2257152, 90=4399103, 99=4567039, 99.9=4567039, 99.99=4567039] 
2025-05-01 05:11:28:385 70 sec: 7921000 operations; 21000 current ops/sec; est completion in 2 minutes [INSERT: Count=21000, Max=5316607, Min=966144, Avg=2768688.76, 90=5148671, 99=5316607, 99.9=5316607, 99.99=5316607] 
2025-05-01 05:11:29:385 71 sec: 7945000 operations; 24000 current ops/sec; est completion in 2 minutes [INSERT: Count=24000, Max=6348799, Min=1794048, Avg=4073237.33, 90=6340607, 99=6348799, 99.9=6348799, 99.99=6348799] 
2025-05-01 05:11:30:385 72 sec: 8093000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=6311935, Min=2539520, Avg=5488003.46, 90=6201343, 99=6311935, 99.9=6311935, 99.99=6311935] 
2025-05-01 05:11:31:385 73 sec: 8234000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=141000, Max=5025791, Min=3485696, Avg=4379190.47, 90=4878335, 99=5021695, 99.9=5025791, 99.99=5025791] 
2025-05-01 05:11:32:385 74 sec: 8379000 operations; 145000 current ops/sec; est completion in 2 minutes [INSERT: Count=146000, Max=5042175, Min=2416640, Avg=3234437.26, 90=3756031, 99=4878335, 99.9=5042175, 99.99=5042175] 
2025-05-01 05:11:33:385 75 sec: 8525000 operations; 146000 current ops/sec; est completion in 2 minutes [INSERT: Count=145000, Max=5885951, Min=1141760, Avg=2062925.68, 90=2445311, 99=5722111, 99.9=5885951, 99.99=5885951] 
2025-05-01 05:11:34:385 76 sec: 8664000 operations; 139000 current ops/sec; est completion in 2 minutes [INSERT: Count=139000, Max=6733823, Min=34176, Avg=953950.27, 90=1193983, 99=6569983, 99.9=6733823, 99.99=6733823] 
2025-05-01 05:11:35:385 77 sec: 8684000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=7581695, Min=35296, Avg=3161814.4, 90=7311359, 99=7581695, 99.9=7581695, 99.99=7581695] 
2025-05-01 05:11:36:385 78 sec: 8704000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=8462335, Min=1050624, Avg=4033075.2, 90=8396799, 99=8462335, 99.9=8462335, 99.99=8462335] 
2025-05-01 05:11:37:385 79 sec: 8780000 operations; 76000 current ops/sec; est completion in 2 minutes [INSERT: Count=76000, Max=9117695, Min=1794048, Avg=7746101.89, 90=9035775, 99=9117695, 99.9=9117695, 99.99=9117695] 
2025-05-01 05:11:38:385 80 sec: 8901000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=8667135, Min=2537472, Avg=7565802.84, 90=8454143, 99=8634367, 99.9=8667135, 99.99=8667135] 
2025-05-01 05:11:39:385 81 sec: 9024000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=7757823, Min=3266560, Avg=6990256.91, 90=7614463, 99=7720959, 99.9=7757823, 99.99=7757823] 
2025-05-01 05:11:40:385 82 sec: 9160000 operations; 136000 current ops/sec; est completion in 2 minutes [INSERT: Count=136000, Max=6848511, Min=4157440, Avg=6110471.53, 90=6664191, 99=6815743, 99.9=6848511, 99.99=6848511] 
2025-05-01 05:11:41:385 83 sec: 9308000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=5824511, Min=4173824, Avg=5009567.14, 90=5566463, 99=5750783, 99.9=5824511, 99.99=5824511] 
2025-05-01 05:11:42:385 84 sec: 9456000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=6668287, Min=2848768, Avg=3811957.62, 90=4304895, 99=6512639, 99.9=6668287, 99.99=6668287] 
2025-05-01 05:11:43:385 85 sec: 9540000 operations; 84000 current ops/sec; est completion in 2 minutes [INSERT: Count=84000, Max=7507967, Min=2177024, Avg=3103524.57, 90=3110911, 99=7507967, 99.9=7507967, 99.99=7507967] 
2025-05-01 05:11:44:385 86 sec: 9556000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=8347647, Min=2918400, Avg=5646592, 90=8208383, 99=8347647, 99.9=8347647, 99.99=8347647] 
2025-05-01 05:11:45:385 87 sec: 9567000 operations; 11000 current ops/sec; est completion in 2 minutes [INSERT: Count=11000, Max=8634367, Min=3665920, Avg=5274065.45, 90=8626175, 99=8634367, 99.9=8634367, 99.99=8634367] 
2025-05-01 05:11:46:385 88 sec: 9581000 operations; 14000 current ops/sec; est completion in 2 minutes [INSERT: Count=14000, Max=10256383, Min=4407296, Avg=6928969.14, 90=10231807, 99=10256383, 99.9=10256383, 99.99=10256383] 
2025-05-01 05:11:47:385 89 sec: 9599000 operations; 18000 current ops/sec; est completion in 2 minutes [INSERT: Count=18000, Max=11034623, Min=5148672, Avg=7381674.67, 90=10985471, 99=11034623, 99.9=11034623, 99.99=11034623] 
2025-05-01 05:11:48:385 90 sec: 9611000 operations; 12000 current ops/sec; est completion in 2 minutes [INSERT: Count=12000, Max=11862015, Min=6266880, Avg=8322730.67, 90=11739135, 99=11862015, 99.9=11862015, 99.99=11862015] 
2025-05-01 05:11:49:385 91 sec: 9643000 operations; 32000 current ops/sec; est completion in 2 minutes [INSERT: Count=32000, Max=12886015, Min=7008256, Avg=11402624, 90=12853247, 99=12886015, 99.9=12886015, 99.99=12886015] 
2025-05-01 05:11:50:385 92 sec: 9776000 operations; 133000 current ops/sec; est completion in 2 minutes [INSERT: Count=133000, Max=12705791, Min=8138752, Avg=11984310.86, 90=12591103, 99=12705791, 99.9=12705791, 99.99=12705791] 
2025-05-01 05:11:51:385 93 sec: 9916000 operations; 140000 current ops/sec; est completion in 2 minutes [INSERT: Count=140000, Max=11632639, Min=8757248, Avg=10859607.77, 90=11452415, 99=11608063, 99.9=11632639, 99.99=11632639] 
2025-05-01 05:11:52:385 94 sec: 10054000 operations; 138000 current ops/sec; est completion in 2 minutes [INSERT: Count=138000, Max=10362879, Min=9084928, Avg=9744502.72, 90=10248191, 99=10354687, 99.9=10362879, 99.99=10362879] 
2025-05-01 05:11:53:385 95 sec: 10202000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=11436031, Min=7770112, Avg=8600022.49, 90=9060351, 99=11427839, 99.9=11436031, 99.99=11436031] 
2025-05-01 05:11:54:385 96 sec: 10340000 operations; 138000 current ops/sec; est completion in 2 minutes [INSERT: Count=138000, Max=12050431, Min=6549504, Avg=7305364.41, 90=7704575, 99=12042239, 99.9=12050431, 99.99=12050431] 
